bairro_origem,bairro_destino,peso,logradouro
curado,sancho,1499.4,Av Liberdade
curado,varzea,3178.48,R. Min Mario Andreazza
curado,toto,1578.28,R. Ana Albuquerque Lima
curado,engenho do meio,2469.76,R. José Dos Santos
curado,torroes,2715.07,R. Brejo Novo
curado,jardim sao paulo,2026.59,R. Agostinho Barbalho
curado,cidade universitaria,2302.82,Av. Reitor Joaquim Amazonas
curado,san martin,3308.29,R. Onze de Fevereiro
curado,tejipio,2039.26,Av. Dr. José Rufino
dois unidos,passarinho,2248.75,R. Dr Antônio da Rosa Borges
dois unidos,linha do tiro,1457.84,R. Eladio Camboim
dois unidos,brejo de beberibe,1176.22,R. Muraja
dois unidos,beberibe,1941.69,R. Divisópolis
aflitos,espinheiro,668.68,R. Santo Elias
aflitos,gracas,729.03,R. Angustura
aflitos,encruzilhada,775.51,R. Amapa
aflitos,rosarinho,789.5,R. Gen. Abreu e Lima
sancho,toto,794.18,R. Paulino de Farias
sancho,tejipio,704.9,R. Aprigio Guimaraes
sancho,coqueiral,814.67,R. Candeal
coqueiral,tejipio,768.97,R. Alto do Bela Vista
coqueiral,toto,1138.8,R. Ana Carneiro D'Albuquerque
varzea,cidade universitaria,2906.38,R. Prof Antônio Coelho
varzea,iputinga,4618.82,R. Prof Chaves Batista
coelhos,sao jose,738.19,Pte Seis de Março
coelhos,santo antonio,1321.38,R. Dr José Mariano
coelhos,ilha joana bezerra,1077.66,Pte Joaquim  Cardoso
coelhos,ilha do leite,584.2,R. Esperanto
coelhos,boa vista,1038.2,R. dos Coelhos
peixinhos,campina do barreto,586.26,R. Campo Redondo
peixinhos,arruda,1580.84,R. Poeta Jayme Griz
peixinhos,campo grande,1334.39,Av Correia de Brito
sao jose,santo antonio,1397.82,R. da Carioca
sao jose,recife,3009.93,Pte Giratória
sao jose,ilha joana bezerra,1439.57,R. Cabo Eutropio
sao jose,cabanga,1224.86,R. Bom Sucesso
sao jose,afogados,2822.89,Pte de Afogados
santo antonio,recife,1618.07,Pte Buarque de Macedo
santo antonio,santo amaro,1708.04,R. da Aurora
santo antonio,boa vista,1395.8,Av Conde da Boa Vista
