,SOURCE,TARGET,RATE
0,430,1,10
1,3134,1,10
2,3026,1,10
3,3010,1,10
4,804,1,10
5,160,1,10
6,95,1,9
7,377,1,7
8,888,1,7
9,89,1,7
10,1901,1,6
11,161,1,6
12,256,1,6
13,351,1,5
14,3329,1,5
15,3341,1,5
16,649,1,5
17,1583,1,5
18,87,1,5
19,37,1,5
20,309,1,5
21,821,1,5
22,1496,1,5
23,637,1,5
24,964,1,5
25,594,1,5
26,2249,1,5
27,554,1,5
28,20,1,5
29,2227,1,5
30,1315,1,5
31,519,1,5
32,1316,1,5
33,2149,1,5
34,1724,1,5
35,18,1,5
36,57,1,5
37,118,1,4
38,3254,1,4
39,1177,1,4
40,112,1,4
41,11,1,4
42,586,1,4
43,35,1,4
44,15,1,4
45,1445,1,4
46,152,1,4
47,2,1,4
48,113,1,4
49,44,1,3
50,2401,1,3
51,10,1,3
52,2378,1,3
53,126,1,3
54,3245,1,3
55,783,1,3
56,493,1,3
57,1358,1,3
58,1180,1,3
59,529,1,3
60,333,1,3
61,1538,1,3
62,2282,1,3
63,1519,1,3
64,2966,1,3
65,474,1,3
66,330,1,3
67,958,1,3
68,17,1,3
69,1295,1,3
70,38,1,3
71,1952,1,3
72,223,1,3
73,625,1,2
74,1392,1,2
75,3355,1,2
76,1881,1,2
77,58,1,2
78,96,1,2
79,1580,1,2
80,196,1,2
81,146,1,2
82,416,1,2
83,1198,1,2
84,3319,1,2
85,1867,1,2
86,896,1,2
87,617,1,2
88,3300,1,2
89,1877,1,2
90,462,1,2
91,3279,1,2
92,454,1,2
93,1860,1,2
94,121,1,2
95,151,1,2
96,1570,1,2
97,1573,1,2
98,1063,1,2
99,1353,1,2
100,459,1,2
101,2334,1,2
102,1267,1,2
103,1060,1,2
104,1061,1,2
105,7431,1,2
106,1355,1,2
107,71,1,2
108,3070,1,2
109,2113,1,2
110,3001,1,2
111,396,1,2
112,2260,1,2
113,142,1,2
114,2238,1,2
115,123,1,2
116,2942,1,2
117,1509,1,2
118,7410,1,2
119,1760,1,2
120,2876,1,2
121,259,1,2
122,1493,1,2
123,2845,1,2
124,370,1,2
125,2844,1,2
126,2167,1,2
127,156,1,2
128,2808,1,2
129,255,1,2
130,736,1,2
131,7603,1,2
132,346,1,2
133,9,1,2
134,75,1,2
135,175,1,2
136,2754,1,2
137,22,1,2
138,155,1,2
139,1261,1,2
140,2552,1,2
141,2586,1,2
142,710,1,2
143,578,1,2
144,472,1,2
145,2472,1,2
146,1606,1,2
147,4,1,2
148,563,1,2
149,744,1,1
150,3422,1,1
151,250,1,1
152,249,1,1
153,2427,1,1
154,3414,1,1
155,1590,1,1
156,2305,1,1
157,1900,1,1
158,3392,1,1
159,1065,1,1
160,1147,1,1
161,1072,1,1
162,3375,1,1
163,1024,1,1
164,709,1,1
165,1382,1,1
166,3332,1,1
167,1885,1,1
168,3330,1,1
169,1197,1,1
170,3316,1,1
171,1886,1,1
172,154,1,1
173,1522,1,1
174,2391,1,1
175,3298,1,1
176,432,1,1
177,3292,1,1
178,3290,1,1
179,7597,1,1
180,3274,1,1
181,1875,1,1
182,291,1,1
183,158,1,1
184,1579,1,1
185,1846,1,1
186,1066,1,1
187,290,1,1
188,3233,1,1
189,891,1,1
190,247,1,1
191,1856,1,1
192,3211,1,1
193,115,1,1
194,1365,1,1
195,483,1,1
196,3210,1,1
197,3189,1,1
198,3193,1,1
199,2352,1,1
200,1847,1,1
201,3173,1,1
202,1051,1,1
203,1843,1,1
204,2342,1,1
205,7341,1,1
206,3139,1,1
207,1186,1,1
208,3167,1,1
209,3149,1,1
210,1842,1,1
211,3156,1,1
212,3141,1,1
213,817,1,1
214,1840,1,1
215,1839,1,1
216,2324,1,1
217,3143,1,1
218,3142,1,1
219,174,1,1
220,2315,1,1
221,1356,1,1
222,1835,1,1
223,296,1,1
224,3118,1,1
225,1542,1,1
226,3111,1,1
227,753,1,1
228,3088,1,1
229,395,1,1
230,3068,1,1
231,3042,1,1
232,1442,1,1
233,1339,1,1
234,596,1,1
235,2281,1,1
236,222,1,1
237,194,1,1
238,3064,1,1
239,1812,1,1
240,1796,1,1
241,701,1,1
242,124,1,1
243,3057,1,1
244,7427,1,1
245,2276,1,1
246,2271,1,1
247,1525,1,1
248,2235,1,1
249,3027,1,1
250,2090,1,1
251,1342,1,1
252,331,1,1
253,3023,1,1
254,2261,1,1
255,68,1,1
256,116,1,1
257,1043,1,1
258,3020,1,1
259,491,1,1
260,179,1,1
261,2252,1,1
262,214,1,1
263,439,1,1
264,2147,1,1
265,1167,1,1
266,697,1,1
267,67,1,1
268,1793,1,1
269,258,1,1
270,1340,1,1
271,2996,1,1
272,1520,1,1
273,1336,1,1
274,30,1,1
275,178,1,1
276,747,1,1
277,2962,1,1
278,2952,1,1
279,455,1,1
280,260,1,1
281,623,1,1
282,29,1,1
283,1510,1,1
284,2927,1,1
285,301,1,1
286,2907,1,1
287,2909,1,1
288,1148,1,1
289,955,1,1
290,1502,1,1
291,2853,1,1
292,1500,1,1
293,2178,1,1
