bairro,grau,ordem_ego,tamanho_ego,densidade_ego
aflitos,3,4,10,1.6667
afogados,9,10,32,0.7111
agua fria,8,9,32,0.8889
alto do mandu,3,4,8,1.3333
alto jose bonifacio,5,6,18,1.2
alto jose do pinho,6,7,22,1.0476
alto santa terezinha,5,6,20,1.3333
apipucos,3,4,6,1.0
areias,6,7,16,0.7619
arruda,6,7,20,0.9524
barro,1,2,2,2.0
beberibe,3,4,10,1.6667
boa viagem,4,5,14,1.4
boa vista,9,10,36,0.8
bomba do hemeterio,5,6,18,1.2
bongi,4,5,16,1.6
brasilia teimosa,2,3,4,1.3333
brejo da guabiraba,4,5,14,1.4
brejo de beberibe,6,7,22,1.0476
cabanga,2,3,4,1.3333
cacote,2,3,4,1.3333
cajueiro,3,4,10,1.6667
campina do barreto,5,6,18,1.2
campo grande,6,7,20,0.9524
casa amarela,9,10,32,0.7111
casa forte,4,5,16,1.6
caxanga,2,3,4,1.3333
cidade universitaria,3,4,10,1.6667
coelhos,5,6,18,1.2
cohab,0,1,0,0.0
coqueiral,1,2,2,2.0
cordeiro,5,6,14,0.9333
corrego do jenipapo,3,4,10,1.6667
curado,6,7,16,0.7619
derby,4,5,14,1.4
dois irmaos,3,4,6,1.0
dois unidos,3,4,10,1.6667
encruzilhada,7,8,24,0.8571
engenho do meio,4,5,12,1.2
espinheiro,5,6,18,1.2
estancia,3,4,10,1.6667
fundao,4,5,16,1.6
gracas,9,10,32,0.7111
guabiraba,1,2,2,2.0
hipodromo,3,4,10,1.6667
ibura,5,6,16,1.0667
ilha do leite,3,4,10,1.6667
ilha do retiro,5,6,16,1.0667
ilha joana bezerra,5,6,18,1.2
imbiribeira,5,6,16,1.0667
ipsep,3,4,8,1.3333
iputinga,6,7,16,0.7619
jaqueira,4,5,14,1.4
jardim sao paulo,5,6,12,0.8
jiquia,5,6,16,1.0667
jordao,2,3,6,2.0
linha do tiro,6,7,20,0.9524
macaxeira,4,5,10,1.0
madalena,5,6,16,1.0667
mangabeira,2,3,6,2.0
mangueira,4,5,16,1.6
monteiro,5,6,14,0.9333
morro da conceicao,4,5,16,1.6
mustardinha,4,5,16,1.6
nova descoberta,5,6,18,1.2
paissandu,5,6,16,1.0667
parnamirim,5,6,20,1.3333
passarinho,3,4,10,1.6667
pau ferro,0,1,0,0.0
peixinhos,3,4,10,1.6667
pina,4,5,10,1.0
poco,4,5,14,1.4
ponto de parada,3,4,10,1.6667
porto da madeira,4,5,14,1.4
prado,6,7,20,0.9524
recife,4,5,12,1.2
rosarinho,4,5,12,1.2
san martin,7,8,22,0.7857
sancho,4,5,10,1.0
santana,4,5,14,1.4
santo amaro,7,8,24,0.8571
santo antonio,5,6,20,1.3333
sao jose,6,7,20,0.9524
sitio dos pintos,0,1,0,0.0
soledade,2,3,6,2.0
tamarineira,6,7,20,0.9524
tejipio,2,3,4,1.3333
torre,4,5,14,1.4
torreao,3,4,10,1.6667
torroes,4,5,10,1.0
toto,2,3,6,2.0
varzea,3,4,8,1.3333
vasco da gama,5,6,16,1.0667
zumbi,4,5,14,1.4
