bairro,grau
aflitos,3
afogados,9
agua fria,8
alto do mandu,3
alto jose bonifacio,5
alto jose do pinho,6
alto santa terezinha,5
apipucos,3
areias,6
arruda,6
barro,1
beberibe,3
boa viagem,4
boa vista,9
bomba do hemeterio,5
bongi,4
brasilia teimosa,2
brejo da guabiraba,4
brejo de beberibe,6
cabanga,2
cacote,2
cajueiro,3
campina do barreto,5
campo grande,6
casa amarela,9
casa forte,4
caxanga,2
cidade universitaria,3
coelhos,5
cohab,0
coqueiral,1
cordeiro,5
corrego do jenipapo,3
curado,6
derby,4
dois irmaos,3
dois unidos,3
encruzilhada,7
engenho do meio,4
espinheiro,5
estancia,3
fundao,4
gracas,9
guabiraba,1
hipodromo,3
ibura,5
ilha do leite,3
ilha do retiro,5
ilha joana bezerra,5
imbiribeira,5
ipsep,3
iputinga,6
jaqueira,4
jardim sao paulo,5
jiquia,5
jordao,2
linha do tiro,6
macaxeira,4
madalena,5
mangabeira,2
mangueira,4
monteiro,5
morro da conceicao,4
mustardinha,4
nova descoberta,5
paissandu,5
parnamirim,5
passarinho,3
pau ferro,0
peixinhos,3
pina,4
poco,4
ponto de parada,3
porto da madeira,4
prado,6
recife,4
rosarinho,4
san martin,7
sancho,4
santana,4
santo amaro,7
santo antonio,5
sao jose,6
sitio dos pintos,0
soledade,2
tamarineira,6
tejipio,2
torre,4
torreao,3
torroes,4
toto,2
varzea,3
vasco da gama,5
zumbi,4
