,0
0,1
1,160
2,1028
3,309
4,11
5,594
6,1316
7,1392
8,1583
9,888
10,637
11,1520
12,18
13,35
14,1901
15,44
16,10
17,783
18,821
19,112
20,964
21,89
22,20
23,256
24,223
25,1881
26,351
27,196
28,416
29,1877
30,87
31,2367
32,3254
33,1573
34,247
35,1353
36,493
37,1358
38,1177
39,1538
40,2296
41,222
42,2282
43,2113
44,2260
45,71
46,142
47,2249
48,1519
49,2227
50,1496
51,519
52,1493
53,1315
54,1750
55,156
56,9
57,1724
58,22
59,15
60,255
61,1267
62,1261
63,57
64,710
65,472
66,152
67,1952
68,1606
69,379
70,4
71,563
72,113
73,744
74,625
75,3422
76,3421
77,3418
78,3402
79,250
80,249
81,2427
82,3414
83,1590
84,3355
85,2305
86,1900
87,3385
88,1147
89,377
90,1072
91,96
92,118
93,3375
94,3367
95,1024
96,709
97,3349
98,1580
99,545
100,146
101,1198
102,1589
103,3341
104,3339
105,2402
106,2401
107,1382
108,3335
109,3317
110,3329
111,3332
112,3330
113,1867
114,1197
115,3319
116,1885
117,1862
118,1886
119,649
120,154
121,3316
122,617
123,3313
124,3300
125,1522
126,2391
127,896
128,3298
129,462
130,3295
131,432
132,3292
133,3290
134,2383
135,1195
136,3283
137,1875
138,3279
139,2378
140,1579
141,291
142,454
143,2375
144,292
145,158
146,3256
147,1846
148,3259
149,1066
150,1061
151,3253
152,1860
153,3247
154,2368
155,151
156,3245
157,1574
158,290
159,1570
160,3233
161,891
162,1856
163,115
164,3215
165,483
166,1365
167,3211
168,3210
169,3189
170,3193
171,1847
172,3202
173,2351
174,1063
175,2352
176,1051
177,3173
178,1843
179,3163
180,1186
181,7341
182,2342
183,3139
184,3167
185,459
186,2338
187,1842
188,2334
189,3156
190,817
191,1840
192,3141
193,1521
194,3149
195,2324
196,1839
197,3143
198,3148
199,3142
200,1060
201,7431
202,1355
203,3134
204,174
205,2315
206,1356
207,3124
208,1835
209,296
210,1180
211,3118
212,1542
213,3113
214,3111
215,3013
216,529
217,1826
218,3103
219,1822
220,3101
221,753
222,3083
223,3088
224,395
225,3084
226,333
227,1339
228,3068
229,3042
230,3078
231,596
232,1796
233,2281
234,3070
235,1442
236,3064
237,194
238,3062
239,701
240,3059
241,124
242,7427
243,3057
244,396
245,2276
246,2273
247,3048
248,523
249,2271
250,95
251,1525
252,2235
253,2261
254,1342
255,331
256,3027
257,3023
258,3026
259,373
260,68
261,1331
262,116
263,2147
264,3020
265,2252
266,179
267,3004
268,491
269,214
270,439
271,3010
272,2090
273,3006
274,810
275,1167
276,697
277,67
278,258
279,1793
280,3000
281,2999
282,1340
283,2996
284,2989
285,1043
286,554
287,1336
288,1337
289,2238
290,178
291,747
292,2966
293,2962
294,474
295,330
296,260
297,2952
298,455
299,2941
300,2947
301,2945
302,2942
303,623
304,1509
305,2926
306,29
307,2217
308,123
309,1510
310,1505
311,2927
312,804
313,2920
314,301
315,2782
316,2907
317,2909
318,958
319,1148
320,1502
321,2904
322,955
323,874
324,2898
325,1500
326,2198
327,1320
328,1760
329,1494
330,2178
331,2892
332,636
333,1034
334,276
335,2876
336,1318
337,259
338,2881
339,117
340,1492
341,2185
342,1313
343,1491
344,2870
345,1309
346,2181
347,2858
348,2177
349,1749
350,2848
351,1458
352,951
353,1029
354,2176
355,347
356,2846
357,2845
358,370
359,2173
360,2844
361,1302
362,2167
363,2837
364,517
365,2826
366,2166
367,2163
368,1742
369,2830
370,1295
371,2823
372,2632
373,2820
374,2814
375,796
376,1736
377,1025
378,1482
379,1483
380,2152
381,2810
382,2149
383,2808
384,2144
385,2806
386,1128
387,38
388,2801
389,736
390,2136
391,2795
392,2793
393,1288
394,1436
395,2498
396,7603
397,2786
398,2784
399,587
400,2783
401,2780
402,944
403,305
404,2779
405,2775
406,346
407,683
408,2772
409,2129
410,75
411,2771
412,175
413,1136
414,1283
415,2127
416,2767
417,2764
418,2763
419,2093
420,1284
421,72
422,264
423,2754
424,2756
425,1285
426,613
427,304
428,1282
429,4721
430,2752
431,2750
432,2746
433,586
434,2747
435,2119
436,1715
437,1475
438,734
439,2744
440,2108
441,1923
442,2743
443,1465
444,1720
445,2742
446,2117
447,90
448,2707
449,1457
450,2731
451,2725
452,2109
453,2713
454,155
455,543
456,2102
457,231
458,1708
459,2700
460,2687
461,1413
462,1129
463,2695
464,76
465,1445
466,2065
467,2619
468,2605
469,1251
470,2586
471,1117
472,300
473,1248
474,725
475,578
476,2559
477,507
478,1942
479,1232
480,42
481,534
482,994
483,503
484,2448
485,846
486,2
487,7348
488,7425
489,7557
490,7589
491,37
492,168
493,767
494,23
495,40
496,91
497,54
498,108
499,469
500,271
501,471
502,185
503,188
504,31
505,312
506,74
507,119
508,8
509,381
510,257
511,47
512,17
513,150
514,7400
515,263
516,109
517,489
518,145
519,107
520,473
521,99
522,165
523,24
524,7
525,189
526,787
527,66
528,562
529,270
530,871
531,137
532,353
533,21
534,658
535,45
536,121
537,164
538,1380
539,2404
540,1691
541,14
542,13
543,139
544,206
545,19
546,318
547,561
548,51
549,241
550,77
551,133
552,70
553,211
554,681
555,272
556,862
557,140
558,217
559,182
560,251
561,1098
562,106
563,1409
564,446
565,769
566,1209
567,917
568,1632
569,2006
570,2698
571,1127
572,647
573,126
574,43
575,242
576,5
577,111
578,1156
579,16
580,412
581,5342
582,85
583,3
584,219
585,93
586,350
587,268
588,1785
589,306
590,25
591,161
592,52
593,97
594,83
595,2839
596,1487
597,1709
598,672
599,39
600,424
601,1693
602,449
603,1998
604,1929
605,1977
606,236
607,777
608,63
609,1957
610,1635
611,915
612,65
613,508
614,2499
615,2497
616,299
617,1421
618,1225
619,2488
620,1936
621,382
622,355
623,238
