bairro,grau
aflitos,3
afogados,11
agua fria,8
alto do mandu,3
alto jose bonifacio,5
alto jose do pinho,6
alto santa terezinha,5
apipucos,3
areias,7
arruda,9
barro,3
beberibe,4
boa viagem,4
boa vista,9
bomba do hemeterio,5
bongi,4
brasilia teimosa,2
brejo da guabiraba,5
brejo de beberibe,6
cabanga,3
cacote,2
cajueiro,3
campina do barreto,5
campo grande,6
casa amarela,10
casa forte,4
caxanga,3
cidade universitaria,4
coelhos,5
cohab,3
coqueiral,1
cordeiro,9
corrego do jenipapo,4
curado,8
derby,4
dois irmaos,4
dois unidos,4
encruzilhada,7
engenho do meio,5
espinheiro,5
estancia,3
fundao,4
gracas,9
guabiraba,5
hipodromo,3
ibura,7
ilha do leite,3
ilha do retiro,5
ilha joana bezerra,6
imbiribeira,5
ipsep,3
iputinga,7
jaqueira,4
jardim sao paulo,7
jiquia,6
jordao,3
linha do tiro,6
macaxeira,4
madalena,5
mangabeira,5
mangueira,4
monteiro,5
morro da conceicao,4
mustardinha,4
nova descoberta,5
paissandu,5
parnamirim,5
passarinho,4
pau ferro,1
peixinhos,3
pina,5
poco,6
ponto de parada,4
porto da madeira,4
prado,6
recife,4
rosarinho,5
san martin,9
sancho,4
santana,5
santo amaro,7
santo antonio,5
sao jose,7
sitio dos pintos,2
soledade,2
tamarineira,7
tejipio,2
torre,4
torreao,3
torroes,4
toto,2
varzea,3
vasco da gama,5
zumbi,4
