user,grau
430,9
1,490
3134,4
3026,1
3010,1
804,7
160,10
95,122
377,4
888,5
89,46
1901,1
161,36
256,30
351,16
3329,1
3341,1
649,13
1583,1
87,59
37,54
309,23
821,4
1496,2
637,7
964,4
594,5
2249,1
554,3
20,57
2227,1
1315,2
519,14
1316,1
2149,3
1724,2
18,78
57,58
118,38
3254,11
1177,3
112,24
11,203
586,7
35,27
15,197
1445,2
152,32
2,195
113,38
44,50
2401,2
10,177
2378,2
126,36
3245,1
783,3
493,8
1358,2
1180,6
529,12
333,13
1538,3
2282,1
1519,3
2966,1
474,12
330,19
958,8
17,111
1295,4
38,80
1952,1
223,19
625,6
1392,2
3355,1
1881,2
58,131
96,47
1580,4
196,22
146,35
416,12
1198,4
3319,1
1867,3
896,6
617,9
3300,1
1877,2
462,14
3279,1
454,14
1860,3
121,34
151,20
1570,4
1573,3
1063,6
1353,4
459,11
2334,2
1267,4
1060,6
1061,4
7431,4
1355,2
71,21
3070,1
2113,1
3001,2
396,13
2260,1
142,45
2238,2
123,36
2942,1
1509,4
7410,7
1760,14
2876,1
259,25
1493,2
2845,1
370,16
2844,3
2167,2
156,48
2808,1
255,35
736,3
7603,66
346,16
9,143
75,54
175,27
2754,1
22,148
155,39
1261,4
2552,2
2586,1
710,7
578,9
472,10
2472,2
1606,3
4,215
563,10
744,6
3422,1
250,15
249,34
2427,2
3414,1
1590,13
2305,2
1900,3
3392,3
1065,8
1147,9
1072,4
3375,1
1024,4
709,3
1382,3
3332,1
1885,3
3330,1
1197,4
3316,1
1886,3
154,51
1522,5
2391,3
3298,1
432,15
3292,1
3290,1
7597,8
3274,2
1875,3
291,13
158,23
1579,3
1846,3
1066,5
290,23
3233,1
891,4
247,17
1856,4
3211,1
115,44
1365,3
483,6
3210,1
3189,1
3193,1
2352,2
1847,3
3173,1
1051,6
1843,3
2342,2
7341,9
3139,1
1186,6
3167,1
3149,1
1842,2
3156,2
3141,1
817,6
1840,3
1839,2
2324,2
3143,1
3142,1
174,35
2315,2
1356,2
1835,3
296,19
3118,1
1542,3
3111,1
753,4
3088,2
395,17
3068,1
3042,1
1442,3
1339,4
596,11
2281,2
222,30
194,16
3064,1
1812,4
1796,3
701,12
124,55
3057,1
7427,2
2276,2
2271,2
1525,4
2235,2
3027,1
2090,5
1342,5
331,17
3023,1
2261,4
68,44
116,48
1043,8
3020,1
491,67
179,37
2252,2
214,21
439,7
2147,2
1167,5
697,8
67,62
1793,2
258,29
1340,4
2996,1
1520,2
1336,6
30,125
178,30
747,10
2962,1
2952,1
455,7
260,30
623,13
29,66
1510,2
2927,1
301,10
2907,1
2909,1
1148,5
955,7
1502,4
2853,3
1500,4
2178,2
1320,4
874,10
2177,3
2892,2
636,4
1034,5
1494,5
276,6
1318,3
117,56
1492,3
1302,3
1313,3
1491,4
2870,1
2181,1
1309,4
1750,2
2848,1
1458,8
951,8
1029,6
2176,3
2846,1
347,17
2173,2
2826,1
1742,3
2166,1
2823,1
2820,1
2814,1
1736,4
1025,4
1482,5
1483,4
2152,3
2806,1
1128,5
2801,1
2795,1
1290,5
1288,5
1436,2
2498,1
2784,1
587,13
2780,1
2779,1
305,16
944,4
2129,2
683,8
42,80
1136,7
1283,4
2127,2
2093,2
1284,5
72,45
264,20
2756,1
1285,5
613,15
304,23
1282,4
4721,1
1475,4
2746,1
1715,4
734,4
2108,2
1923,2
